"","refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed.9908_bed","refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed.DNase1HS_8846_bed"
"21504",-1.29910599628919,-0.957987900103954
"21505",-1.30902466206713,-1.27291442185209
"21506",-1.18353332319432,-0.462394957848223
"21507",-1.23545028093553,-1.48068401440904
"21508",-1.24436140382388,-1.51577136230628
"21509",-1.51671231979491,-1.60280762098281
"21510",-1.49944793907186,-1.65351010743292
"21511",-1.27832950238244,-0.805180510437965
"21512",-1.09302960742185,-1.11055262313409
"21513",-1.4040961295574,-0.857598018370381
"21514",-1.24986975249444,-0.612108532980216
"21515",-1.3082114755973,-1.11452569717084
"21516",-1.34179774661299,-1.4720222873726
"21517",-1.20385601184992,-1.49318390229108
"21518",-1.29502630588282,-0.542313352683069
"21519",-1.37078414352282,-1.55861911508349
"21520",-0.82417229288218,-1.20118367761405
"21521",-1.20339791723,-1.49942050763666
"21522",-1.5872875172549,-1.4961140276678
"21523",-1.38820236922368,-0.495338878005506
"21524",-1.38547188025246,-0.493526086383147
"21525",-1.31784589472872,-1.49894073778225
"21526",-1.30176892455088,-1.48921378207716
"21527",-1.28877503138064,-1.47371242741192
"21528",-1.45253297757361,-1.5576456770606
"21529",-1.34142581706107,-1.52316837148774
"21530",-1.43378648943762,-1.6285072914241
"21531",-1.12978343193164,-0.706710386364708
"21532",-1.12385724340204,-0.705198812886684
"21533",-1.15562845950651,-1.0002693460847
"21534",-1.21986278095051,-0.707750576058916
"21535",-1.33429708596256,-0.638612179687403
"21536",-1.08736882563964,-1.36879982890772
"21537",-1.22020876917035,-0.751406405665798
"21538",-1.36406409855611,-1.02497280228488
"21539",-1.19160670219556,-0.108755329834952
"21540",-1.19483229666085,-0.108010642954641
"21541",-1.15770286567193,-0.590687499183157
"21542",-1.14841758056635,-1.28575408898211
"21543",-1.22542464566127,-0.840429799197279
"21544",-1.08080157763172,-1.34720267713018
"21545",-1.2131350516528,-1.10989769252279
