"","refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed.9908_bed","refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed.DNase1HS_8846_bed"
"21527",-1.92727231041473,-1.94142215086678
"21528",-1.94784493280044,-1.96007058589144
"21529",-1.92730904498713,-1.95066566402772
"21530",-1.95495098701104,-1.95066566402772
"21531",-1.89500105070037,-1.64288499048962
"21532",-1.90132167042356,-1.64793330919481
"21533",-1.90766541047898,-1.8255040806247
"21534",-1.89506926092226,-1.73942779187651
"21535",-1.94784493280044,-1.6473737631692
"21536",-1.90766541047898,-1.95058813912892
"21537",-1.89506926092226,-1.78238447133367
"21538",-1.92730904498713,-1.79255414601575
"21539",-1.91410318886841,-1.07573622473231
"21540",-1.9142457557903,-1.06971335275448
"21541",-1.90132167042356,-1.63383863219581
"21542",-1.92063783560695,-1.92350519499028
"21543",-1.91410318886841,-1.77582964831082
"21544",-1.90132167042356,-1.95062689984847
"21545",-1.92154318194671,-1.91381819535025
"21546",-1.89506926092226,-1.55539317217702
"21547",-1.92723557894925,-1.47840431688984
"21548",-1.90132167042356,-1.57482457927436
"21549",-1.90770052342575,-1.6940041172292
"21550",-1.91410318886841,-1.83247590757979
"21551",-1.87696547024649,-1.81910031323377
"21552",-1.93404701968613,-1.49618208930218
"21553",-1.93404701968613,-1.7181942303734
"21554",-1.91410318886841,-1.36323135733097
"21555",-1.90713905666118,-1.68112312533902
"21556",-1.92730904498713,-1.56722305923514
"21557",-1.87621367138463,-1.47566879971135
"21558",-1.88279501390722,-1.2695811338046
"21559",-1.91410318886841,-1.56755987705721
"21560",-1.92067401324718,-1.83995186044712
"21561",-1.90766541047898,-1.35574856185237
"21562",-1.92005940284764,-1.53039886788617
"21563",-1.89564948075726,-1.65444984251226
"21564",-1.92067401324718,-1.31183833954828
"21565",-1.92730904498713,-1.85038065846685
"21566",-1.92063783560695,-1.51030864462354
"21567",-1.89506926092226,-1.35653745329684
"21568",-1.89541047282063,-1.36321131096563
"21569",-1.92730904498713,-1.88736148938151
"21570",-1.90766541047898,-1.78898630939617
"21571",-1.91417446647926,-1.86614187479667
"21572",-1.88279501390722,-1.49204972672095
"21573",-1.94089118208641,-1.5851101782304
"21574",-1.90766541047898,-1.28160627537864
"21575",-1.92730904498713,-1.29077245266568
"21576",-1.90770052342575,-1.92793400858525
"21577",-1.90132167042356,-1.92383306065507
"21578",-1.94784493280044,-1.04584918463046
"21579",-1.94784493280044,-1.04852162552535
"21580",-1.93400971076622,-1.66839052023591
"21581",-1.90766541047898,-1.49234648653501
"21582",-1.91410318886841,-1.96968369401141
"21583",-1.90462140043994,-1.81596192137311
"21584",-1.89506926092226,-1.9063332177721
"21585",-1.90805180912144,-1.59600490473632
"21586",-1.91962608329869,-1.60547827732509
"21587",-1.91410318886841,-1.55920107905629
"21588",-1.92730904498713,-1.80134291304558
"21589",-1.93345046123807,-1.6897103762039
"21590",-1.91406755444936,-1.89763490866147
"21591",-1.92071019390134,-1.60266842960887
"21592",-1.90763030037088,-1.87386859273802
"21593",-1.90132167042356,-1.92793400858525
"21594",-1.91410318886841,-1.93685436289336
"21595",-1.91410318886841,-1.52514296868244
"21596",-1.90766541047898,-1.4707493554676
"21597",-1.90121787568531,-1.87781689990613
"21598",-1.93400971076622,-1.77463901962734
"21599",-1.92730904498713,-1.95020072208101
"21600",-1.92063783560695,-1.81214099965904
"21601",-1.92067401324718,-1.9063332177721
"21602",-1.94032300641524,-1.88575608631109
"21603",-1.90780587930268,-1.72101788313456
"21604",-1.92730904498713,-1.58895299754391
"21605",-1.90132167042356,-1.94596178931513
"21606",-1.92067401324718,-1.84022232721275
"21607",-1.92067401324718,-1.8264932297919
"21608",-1.93389780323323,-1.82226154959828
"21609",-1.93404701968613,-1.50823222059631
"21610",-1.92730904498713,-1.91055414172617
"21611",-1.94089118208641,-1.46160223131426
"21612",-1.94089118208641,-1.45231142387098
"21613",-1.89949160549804,-1.72266588778402
"21614",-1.94780641956653,-1.50622140045814
"21615",-1.90763030037088,-1.93685436289336
"21616",-1.94089118208641,-1.23830515017091
"21617",-1.93404701968613,-0.97779440105941
"21618",-1.92401531525588,-1.96007058589144
"21619",-1.91995103242115,-1.51571440004999
"21620",-1.93404701968613,-1.44936812410527
"21621",-1.92727231041473,-1.45407467064416
"21622",-1.90777075783714,-1.50957795842345
"21623",-1.94036086167628,-1.95534266676513
"21624",-1.93404701968613,-1.96489059705542
"21625",-1.94443055993901,-1.95534266676513
"21626",-1.92005940284764,-1.94142215086678
"21627",-1.94784493280044,-1.36354219437602
"21628",-1.95495098701104,-1.89082657857453
"21629",-1.93404701968613,-1.97959727901612
"21630",-1.95432503323089,-1.91894087699868
"21631",-1.92730904498713,-1.28289561341362
"21632",-1.93404701968613,-1.79865750735229
"21633",-1.94722913052512,-1.91822077323247
"21634",-1.92067401324718,-1.31328331327948
"21635",-1.92723557894925,-1.86630145388422
"21636",-1.90745479239439,-1.49593711732131
"21637",-1.94089118208641,-1.39424257495239
"21638",-1.93389780323323,-1.2857792467574
"21639",-1.94081538236863,-1.61435798347077
"21640",-1.92730904498713,-1.48065774288996
"21641",-1.90132167042356,-1.65454784862418
"21642",-1.90132167042356,-1.8021683066711
"21643",-1.91410318886841,-1.46181599914173
"21644",-1.90132167042356,-1.87781689990613
"21645",-1.94070170759193,-1.95066566402772
"21646",-1.94081538236863,-1.94469813565256
"21647",-1.89506926092226,-1.34645947651529
"21648",-1.89510337005103,-1.34662345040298
"21649",-1.91410318886841,-1.49777778423352
"21650",-1.95495098701104,-1.41349146053705
