"","mod_log2FC","mod_log2_VIT","mod_log2_VITB"
"NM_133728",-0.149713563989991,10.1736614802969,10.0239479163069
"NM_001252070",-0.141665103605092,10.1759679932507,10.0343028896456
"NM_133810",0.154198025087254,10.1920578018591,10.3462558269463
"NM_001001883",0.15189198772703,10.1897652196266,10.3416572073537
"NM_172655",0.156490607319672,10.1897652196266,10.3462558269463
"NM_001033194",0.140518807089133,10.2103272956707,10.3508461027599
"NM_001163314",0.131329911682933,10.2103272956707,10.3416572073537
"NM_001081433",0.135928531275574,10.2103272956707,10.3462558269463
"NM_031179",0.151976463924569,10.2171458730547,10.3691223369793
"NM_010477",0.149737587403742,10.228470957253,10.3782085446568
"NM_028713",0.122695214770008,10.2509746100309,10.3736698248009
"NM_001113367",0.125050678906842,10.2576877486542,10.382738427561
"NM_029267",0.125050678906842,10.2576877486542,10.382738427561
"NM_027661",0.120943081760302,10.2887855149347,10.4097285966951
"NM_139146",0.120997775717669,10.2931973714571,10.4141951471748
"NR_037990",0.134343146207488,10.2931973714571,10.4275405176646
"NR_037999",0.134417249315607,10.3063876541446,10.4408049034602
"NR_004860",0.130004751187116,10.3063876541446,10.4363924053317
"NM_001114102",0.130004751187116,10.3063876541446,10.4363924053317
"NM_001037742",0.130004751187116,10.3063876541446,10.4363924053317
"NR_027630",0.11717488842346,10.3455588767743,10.4627337651978
"NM_001159865",0.11717488842346,10.3455588767743,10.4627337651978
"NM_001159864",0.11717488842346,10.3455588767743,10.4627337651978
"NM_001042634",0.103317067921541,10.4366397650023,10.5399568329239
"NR_027854",0.103317067921541,10.4366397650023,10.5399568329239
"NR_027853",0.103317067921541,10.4366397650023,10.5399568329239
"NM_027351",0.113872286330928,10.4387142795616,10.5525865658925
"NM_027374",0.113872286330928,10.4387142795616,10.5525865658925
"NM_008765",0.113872286330928,10.4387142795616,10.5525865658925
"NM_001271526",0.113872286330928,10.4387142795616,10.5525865658925
"NM_001025378",0.113872286330928,10.4387142795616,10.5525865658925
"NM_172513",0.122254686365334,10.4387142795616,10.5609689659269
"NM_175370",0.112139714236672,10.4655039922696,10.5776437065063
"NM_172406",0.118709037910158,10.4960148587132,10.6147238966234
"NM_175200",0.132977582226516,10.4980344333152,10.6310120155418
"NM_001033449",0.132977582226516,10.4980344333152,10.6310120155418
"NM_001037812",0.132977582226516,10.4980344333152,10.6310120155418
"NM_145143",0.12089653292054,10.5101154826212,10.6310120155418
"NM_001164682",0.12089653292054,10.5101154826212,10.6310120155418
