Sample ID	sample1	sample2	sample3	sample4
2700094K13RIK:NM_001033166:NM_001037279	432	501	391	413
2700097O09RIK:NM_028314:NR_030764	61	69	52	76
2810002N01RIK:NM_026511:NM_001163388	562	648	543	646
2810004N23RIK:NM_025615	630	823	542	741
2900006K08RIK:NM_028377	46	29	31	51
2900010J23RIK:NM_175190	2354	2316	2141	2146
2900010M23RIK:NM_026063	252	309	229	309
2900011O08RIK:NM_144518	0	0	0	0
2900026A02RIK:NM_172884	2098	2067	2229	2077
2900041M22RIK:NR_015489	0	0	0	0
2900060B14RIK:NR_027901	0	0	0	0
2900064A13RIK:NM_133749	749	911	608	682
2900073G15RIK:NM_026064	2691	3642	2713	3023
2900092C05RIK:NM_028434	0	0	0	0
2900092E17RIK:NM_030240	1489	1622	1649	1736
3000002C10RIK:NR_033215	12	17	22	20
3010026O09RIK:NM_026543	124	157	119	118
3110001D03RIK:NM_025849	673	797	543	592
3110001I22RIK:NM_025653	118	116	92	121
3110002H16RIK:NM_029623	1204	1526	1355	1659
3110003A17RIK:NM_028440	385	439	259	354
3110007F17RIK:NM_028426	28	21	12	26
3110009E18RIK:NM_028439:NM_001172074	43	54	32	36
3110021A11RIK:NR_030776	1	2	0	1
3110035E14RIK:NM_178399	0	0	0	0
3110040N11RIK:NM_026077	164	189	152	164
3110043O21RIK:NM_001081343	47	54	46	56
3110047P20RIK:NM_177006	0	0	0	0
3110049J23RIK:NM_026085	52	67	67	79
3110056O03RIK:NM_175195	1453	1840	1772	2196
3110057O12RIK:NM_026622	191	167	114	171
3110062M04RIK:NM_001135611:NM_199145	156	174	149	199
3110070M22RIK:NR_027974	8	11	6	7
3110079O15RIK:NM_028473	0	0	0	0
3110082D06RIK:NM_028474	0	4	0	0
3110082I17RIK:NM_028469	189	302	193	318
3200002M19RIK:NM_027532	57	69	59	68
3230401D17RIK:NM_025699	143	160	110	129
3300002I08RIK:NM_027017	5	10	9	3
3632451O06RIK:NM_026142	0	1	1	3
3830403N18RIK:NM_027510	4	3	2	2
3830406C13RIK:NM_146051:NM_178141	98	79	75	99
3830417A13RIK:NM_027512	0	0	0	0
3930402G23RIK:NR_030715	0	1	0	1
4430402I18RIK:NM_198651	1	2	4	5
4432412L15RIK:NM_028877	67	75	108	127
4631416L12RIK:NM_001081295	4	4	0	0
4632411B12RIK:NM_172652	3534	4241	3751	4561
4632415K11RIK:NM_028883	618	722	688	675
4632415L05RIK:NR_027985	591	664	502	667
4632428N05RIK:NM_001159572:NM_028732	3800	3985	4623	4350
4921528I01RIK:NM_027616	0	0	0	0
4921528O07RIK:NM_030071	1	2	0	2
4921530D09RIK:NM_029859	0	1	0	1
4921530L21RIK:NM_025733	0	0	0	0
4930441O14RIK:NR_027969	3	7	9	7
4930443G12RIK:NM_029054	0	0	0	0
4930444A02RIK:NM_029037	628	702	660	698
4930449I24RIK:NM_026136	0	0	0	0
4930451C15RIK:NM_001145435:NM_029053	0	0	0	0
4930451I11RIK:NM_183131	0	0	0	0
4930452B06RIK:NM_028934	0	2	1	1
4930453N24RIK:NM_026273	515	620	405	551
4930455C21RIK:NM_024273	585	641	494	635
