"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SFRS3:NM_013663",705.393192320876,-0.298507291271939,0.164881976646905,4.09731341251738e-06,0.00234199399612521
"PDE2A:NM_001143848:NM_001008548:NM_001143849:NR_026574",1755.35151334061,0.54051230540397,0.125547663764582,4.8592138474715e-06,0.00267829454671527
"MDN1:NM_001081392",3749.49183282314,0.457954591937714,0.155855846870656,6.3643096008882e-06,0.00338534776557083
"TOX:NM_145711",6502.79749050583,-0.723458077195175,0.164218821971953,6.58073174153599e-06,0.00338534776557083
"TCF7:NM_009331",170714.542398421,-0.420555581658786,0.0959998121397665,8.13124567684804e-06,0.00404804885583212
"ADAMTS10:NM_172619",5163.62925771696,0.549448866352568,0.155781866242351,8.400925397136e-06,0.0040516088016875
"SSB:NM_009278:NM_001110145",1605.84221577267,-0.343660492118422,0.132358255121811,8.74671536563862e-06,0.00409054721933033
"BCL2L11:NM_207681:NM_207680:NM_009754",4681.71218743393,-0.131514672706649,0.103033994765078,9.22024548058372e-06,0.00409975435954195
"KCNQ5:NM_023872:NM_001160139",346.405846696718,0.961099658977866,0.224897622454689,9.29769990176688e-06,0.00409975435954195
"ATPGD1:NM_134148",2512.68351804914,0.505851443136682,0.120521824864988,1.02276295632797e-05,0.00426602721757016
"NAA15:NM_053089",2499.94711278482,-0.154007952823856,0.119582088094992,1.0009675977018e-05,0.00426602721757016
"FCHO1:NM_028715:NR_028267",8406.40625506942,0.32594754246938,0.101201193937388,1.2011937601896e-05,0.0046345058252515
"NWD1:NM_176940:NM_001159403",2372.71331743838,0.542558759849675,0.119338254677568,1.1449325260253e-05,0.0046345058252515
"RASGRP1:NM_011246",19408.2921815316,-0.249157594779346,0.108450619527272,1.17268510402318e-05,0.0046345058252515
"RPL39:NM_026055",560.387257026915,-0.888585913932001,0.21366388857531,1.26275232321268e-05,0.00475318453759545
"CORO1A:NM_009898",22424.9590754578,0.0695386046739287,0.0888968895008369,1.33368704850413e-05,0.00480354404436361
