"","PC1","PC2"
"E030002O03RIK:NM_172905",0.0448744522635437,-0.0555922602132693
"LTBP3:NM_008520",0.0583637806466489,0.01174429168943
"EPB4.1L1:NM_013510:NM_001003815:NM_001006664",0.0545037994001748,0.0342007510172802
"CREB3L1:NM_011957",0.0563044663864946,0.0227837525861987
"CORO2A:NM_178893:NM_001164804",0.0488757077460772,-0.051959261432828
"CCDC80:NM_026439",0.0544734716192338,0.0310118020226504
"CLEC2D:NM_053109",-0.0420560759992763,-0.0398774664933818
"FKBP9:NM_012056",0.055837302514429,-0.0141591428205594
"FZD1:NM_021457",0.0563028910526734,0.00713306288781237
"SLC7A5:NM_011404",0.0319488692045433,-0.0852652129794024
"SCIN:NM_009132:NM_001146196",0.0446358578668141,-0.0559007894281386
"ARHGAP5:NM_009706",0.0190050640661325,-0.0967159976430487
"FOXC1:NM_008592",0.0554913073693677,0.0117550517474225
"SRM:NM_009272",0.0434303928619415,-0.0642093591626955
"EFEMP2:NM_021474:NM_001164352",0.0528515894046373,0.0293313164873658
"AMOTL2:NM_019764",0.0525115634037147,0.0298238659227867
"DLG5:NM_001163513:NM_027726",0.0545924356286592,0.00803001715058671
"PLEKHA7:NM_172743",0.0506808663328422,-0.0150252958631345
"PPRC1:NM_001081214",0.0400856196571905,-0.0676704945396032
"LTBP1:NM_019919:NM_206958",0.0423492328519973,0.0609286691497763
"BMP1:NM_009755:NR_033241",0.051708354737449,-0.0220749879111398
"CRLF1:NM_018827",0.0408890844210341,0.0625879447922197
"SH3PXD2B:NM_177364",0.0509952104548762,0.0244834333934959
"SMOC1:NM_022316:NM_001146217",0.0531837135516261,0.00591207145942079
"TMED5:NM_028876",0.00675460973213619,-0.0972640571655258
"CD248:NM_054042",0.0525596426168822,-0.00485760534304151
"SMTN:NM_001159284:NM_013870",0.0486488654399447,-0.0377328259022482
"HMOX1:NM_010442",0.0512041189324211,0.00915824386976696
"GLS:NM_001081081:NM_001113383",0.0215473429117607,-0.0872641585684854
"CDSN:NM_001008424",0.0517457532670592,0.0103977769191325
"LAMB1-1:NM_008482",0.0519932710073657,0.00212431235808545
"ANTXR1:NM_054041",0.0518388199593077,0.00955559609618528
"ITGA11:NM_176922",0.0495717882515113,0.0205207118416857
"MORF4L2:NM_001168225:NM_001168226:NM_001168229:NM_019768:NM_001168227:NM_001168228:NM_001168230",0.0135625566448666,-0.0914820501914003
"LMNA:NM_001002011:NM_019390:NM_001111102",0.0484490745815076,0.0327821648877416
"LY6D:NM_010742",0.0273306350329364,-0.0776042336736846
"POLR1B:NM_009086",0.031217563485899,-0.0747791580936414
